english_name	english_type	english	spanish_name	spanish_type	spanish
Qtime	T	Timestamp	Qtime	T	Timestamp
Qr_experience	c	How would you rate your level of experience using R?	Qr_experience	c	¿Cómo calificarías tu nivel de experiencia usando R?
Qhow_to_learn_r	c	What is your plan for learning R?	Qhow_to_learn_r	c	¿Cuál es tu plan para aprender R?
Qreason_to_learn	c	Which statement most closely reflects the primary reason why you are interested in learning R?	Qreason_to_learn	c	¿Qué opción refleja mejor la razón principal por la que aprendiste R?...4
Qr_use	c	"If you were to learn R, what would do you think you would use it for? (check all that apply)"	Qr_use	c	"Si aprendieras R, ¿para qué consideras que lo usarías? (marca todas las opciones que apliquen)"
Qtools	c	Which analytical tools do you use today for the functions that you might learn R for? (please check all that apply)	Qtools	c	"¿Qué herramientas analíticas usas hoy para las funciones para las que podrías aprender R? (por favor, marca todas las opciones que apliquen)"
Qobstacles_to_starting	c	"What do you think is the biggest obstacle you must overcome in trying to learn R? The choices below are only suggestions; if we haven't listed your obstacle, please choose ""Other"" and add your obstacle in the text."	Qobstacles_to_starting	c	"¿Cuál crees que es el mayor obstáculo que debes superar para tratar de aprender R? Las siguientes opciones son solo sugerencias. Si no enumeramos tu obstáculo, elige ""Other"" y agrega tu obstáculo como texto libre."
Qr_year	d	What year did you first start learning R?	Qr_year	d	¿En qué año comenzaste a aprender R?
Qr_learning_path	c	"How did you learn R? If you used multiple methods, please select the one you used the most."	Qr_learning_path	c	"¿Cómo aprendiste R? Si usaste varios métodos, por favor, selecciona el que hayas usado más."
Qr_reason_experienced	c	Which statement most closely reflects the primary reason why you learned R?	Qr_reason_experienced	c	¿Qué opción refleja mejor la razón principal por la que aprendiste R?...10
Qmost_difficult_aspect	c	"What do you think was the biggest obstacle you had to overcome in learning R? The choices below are only suggestions; if we haven't listed your obstacle, please choose ""Other"" and add your obstacle in the text."	Qmost_difficult_aspect	c	"¿Cuál crees que fue el mayor obstáculo que tuviste que superar para aprender R? Las siguientes opciones son solo sugerencias; Si no hemos enumerado su obstáculo, elija ""Otro"" y agregue su obstáculo en el texto."
Qr_how_often_used	c	"How often do you use R today, either for professional or personal projects?"	Qr_how_often_used	c	"¿Con qué frecuencia usa R hoy, ya sea para proyectos profesionales o personales?"
Qr_OS	c	What is the primary operating system that you use for your R work?	Qr_OS	c	¿Cuál es el sistema operativo principal que usa para su trabajo de R?
Qused_for	c	What applications do you use R for most? (check all that apply)	Qused_for	c	¿Para qué aplicaciones usas R más frecuentemente? (marca todas las que correspondan)
Qr_enjoyment	d	"Please rate how much you enjoy using R on a scale of 1 to 5, where 1 is you don't enjoy it at all, and 5 is that you enjoy it a great deal."	Qr_enjoyment	d	"Por favor califica cuanto disfrutas usar R en una escala del 1 al 5, donde 1 es que no lo disfrutas para nada y 5 es que lo disfrutas mucho."
Qrecommend	d	"How likely are you to recommend R to a colleague, friend, or family member?"	Qrecommend	d	"¿Qué tan probable es que recomiendes R a un colega, amiga/o o un familiar?"
Qtools_with_r	c	Which tools do you use with your R applications? (please check all that apply)	Qtools_with_r	c	¿Qué herramientas utilizas con tus aplicaciones R? (por favor marca todas las que correspondan)
Qtidyverse_learning	c	Did you use tidyverse packages such as ggplot2 or dplyr to learn R?	Qtidyverse_learning	c	¿Usaste paquetes tidyverse como ggplot2 o dplyr para aprender R?
Qtidyverse_today	c	Do you use tidyverse packages when you use R now?	Qtidyverse_today	c	¿Utilizas paquetes tidyverse cuando usa R ahora?
Qlike_best	c	What do you like best about using R?	Qlike_best	c	¿Qué es lo que más te gusta de usar R?
Qlike_least	c	What do you like least about using R?	Qlike_least	c	¿Qué es lo que menos te gusta de usar R?
Qr_problems	c	"When you have problems in R, where do you go for help?"	Qr_problems	c	"Cuando tienes problemas en R, ¿a quién recurres para pedir ayuda?"
Qr_discover_packages	c	How do you discover new packages or packages that are unfamiliar to you?	Qr_discover_packages	c	¿Cómo descubre nuevos paquetes o paquetes que no le son familiares?
Qr_share	c	How do you share the results that you create in R? Check all that apply.	Qr_share	c	¿Cómo compartes los resultados que creas en R? Marca todos lo que correspondan.
Qr_change	c	"Looking ahead, how do you expect your use of R to change in 2021?"	Qr_change	c	"Mirando hacia el futuro, ¿cómo espera que cambie su uso de R en 2021?"
Qrobot_test	c	"To help us ensure that you are not a robot, please type the value of fifteen divided by three in the box below. Please type your answer as a word; for example if you want 3 to be your answer, type ""three""."	Qrobot_test	c	"Para asegurarnos que no seas un robot, por favor escribe la palabra ""five"", sin comillas, en la siguiente caja."
Qrmarkdown	c	Do you currently use R Markdown? Choose the statement that most closely matches your use.	Qrmarkdown	c	¿Utiliza actualmente R Markdown? Elija la declaración que más se ajuste a su uso.
