Timestamp	X.Cómo.calificarías.tu.nivel.de.experiencia.usando.R.	X.Cuál.es.tu.plan.para.aprender.R.	X.Qué.opción.refleja.mejor.la.razón.principal.por.la.que.aprendiste.R....4	Si.aprendieras.R...para.qué.consideras.que.lo.usarías...marca.todas.las.opciones.que.apliquen.	X.Qué.herramientas.analíticas.usas.hoy.para.las.funciones.para.las.que.podrías.aprender.R...por.favor..marca.todas.las.opciones.que.apliquen.	X.Cuál.crees.que.es.el.mayor.obstáculo.que.debes.superar.para.tratar.de.aprender.R..Las.siguientes.opciones.son.solo.sugerencias..Si.no.enumeramos.tu.obstáculo..elige..Other..y.agrega.tu.obstáculo.como.texto.libre.	X.En.qué.año.comenzaste.a.aprender.R.	X.Cómo.aprendiste.R..Si.usaste.varios.métodos..por.favor..selecciona.el.que.hayas.usado.más.	X.Qué.opción.refleja.mejor.la.razón.principal.por.la.que.aprendiste.R....10	X.Cuál.crees.que.fue.el.mayor.obstáculo.que.tuviste.que.superar.para.aprender.R..Las.siguientes.opciones.son.solo.sugerencias..Si.no.hemos.enumerado.su.obstáculo..elija..Otro..y.agregue.su.obstáculo.en.el.texto.	X.Con.qué.frecuencia.usa.R.hoy..ya.sea.para.proyectos.profesionales.o.personales.	X.Cuál.es.el.sistema.operativo.principal.que.usa.para.su.trabajo.de.R.	X.Para.qué.aplicaciones.usas.R.más.frecuentemente...marca.todas.las.que.correspondan.	Por.favor.califica.cuanto.disfrutas.usar.R.en.una.escala.del.1.al.5..donde.1.es.que.no.lo.disfrutas.para.nada.y.5.es.que.lo.disfrutas.mucho.	X.Qué.tan.probable.es.que.recomiendes.R.a.un.colega..amiga.o.o.un.familiar.	X.Qué.herramientas.utilizas.con.tus.aplicaciones.R...por.favor.marca.todas.las.que.correspondan.	X.Usaste.paquetes.tidyverse.como.ggplot2.o.dplyr.para.aprender.R.	X.Utilizas.paquetes.tidyverse.cuando.usa.R.ahora.	X.Qué.es.lo.que.más.te.gusta.de.usar.R.	X.Qué.es.lo.que.menos.te.gusta.de.usar.R.	Cuando.tienes.problemas.en.R...a.quién.recurres.para.pedir.ayuda.	X.Cómo.descubre.nuevos.paquetes.o.paquetes.que.no.le.son.familiares.	X.Cómo.compartes.los.resultados.que.creas.en.R..Marca.todos.lo.que.correspondan.	Mirando.hacia.el.futuro...cómo.espera.que.cambie.su.uso.de.R.en.2021.	Para.asegurarnos.que.no.seas.un.robot..por.favor.escribe.la.palabra..five...sin.comillas..en.la.siguiente.caja.	X.Utiliza.actualmente.R.Markdown..Elija.la.declaración.que.más.se.ajuste.a.su.uso.	X.Para.qué.aplicaciones.utilizas.R.Markdown..Marque.todo.lo.que.corresponda.	Mirando.hacia.el.futuro...cómo.esperas.que.cambie.su.uso.de.R.Markdown.en.2021.	X.Con.qué.frecuencia.usas.Shiny.actualmente..ya.sea.como.desarrollador.o.como.usuario..Elige.la.opción.que.más.se.acerque.a.tu.uso.	X.Para.qué.usas.Shiny.	Mirando.hacia.el.futuro...cómo.esperas.que.cambie.su.uso.de.Shiny.en.2021.	X.Utilizas.actualmente.Python..Elije.la.declaración.que.más.se.ajuste.a.tu.uso.	X.Para.qué.aplicaciones.usas.Python.más.frecuentemente...marca.todas.las.que.correspondan.	Por.favor.califica.cuanto.disfrutas.usar.Python.en.una.escala.del.1.al.5..donde.1.es.que.no.lo.disfrutas.para.nada.y.5.es.que.lo.disfrutas.mucho.	X.Qué.tan.probable.es.que.recomiendes.Python.a.un.colega..amiga.o.o.un.familiar.	X.Qué.herramientas.usas.con.tus.aplicaciones.Python...marque.todo.lo.que.corresponda.	Mirando.hacia.el.futuro...cómo.esperas.que.cambie.su.uso.de.Python.en.2021.	X.Con.qué.lenguajes.o.herramientas.informáticas.te.sientes.cómodo.programando.hoy.	X.Cuál.fue.el.PRIMER.lenguaje.de.programación.o.herramienta.informática.que.aprendiste.	X.En.qué.año.naciste.	X.Con.qué.género.te.identificas.	Identifico.mi.origen.étnico.como..selecciona.todas.las.opciones.que.correspondan..	X.Cuál.es.el.nivel.educativo.más.alto.que.has.completado..Si.eres.estudiante..utiliza.el.nivel.más.alto.que.ya.hayas.completado.	X.En.qué.país.resides.actualmente.	X.En.qué.industria.trabajas.o.participas.	X.Cuál.es.el.nombre.de.tu.cargo.laboral..si.tienes.alguno..	X.Qué.categoría.describe.mejor.el.trabajo.que.haces.	X.Cuántas.personas.en.su.organización.o.grupo.de.trabajo.siente.que.puede.pedir.ayuda.o.apoyo.cuando.trabaja.con.R.	X.Te.sientes.parte.de.la.comunidad.R.	X.A.cuál.de.los.siguientes.eventos.has.asistido..Marca.todos.lo.que.correspondan..Incluye.todos.los.eventos.a.los.que.asististe.virtualmente.en.2020.	X.Cómo.te.enteraste.de.esta.encuesta.
2020-12-11T09:07:17Z	Experto	NA	NA	NA	NA	NA	2016	Utilizando un libro o documentación en línea que no formaba parte de un curso formal	Pensé que saber R me abriría nuevas oportunidades en mi carrera	Aprender la sintaxis de R	Diariamente: al menos una vez al día.	Linux (cualquier distribución)	Genómica	5	9	Python, RStudio Server, Shiny Server	Sí	Generalmente	Paquetes tidyverse	NA	Sitios generales de preguntas y respuestas como Stack Overflow y Quora	Redes sociales como blogs, R-bloggers, Twitter, Slack o contactos de GitHub	Blog personal o sitio web de su propiedad, Sitios web públicos como GitHub o Netlify	Espero que siga igual	five	Semanal: entre una vez al día y una vez a la semana	Crear cuadernos R, Crear sitios web a través de blogdown, Crear documentos interactivos basados en Shiny	Espero que aumente	Diariamente: al menos una vez al día	Exploración de datos	Espero que siga igual	Semanal: entre una vez al día y una vez a la semana	Genómica, Medicina	2	5	Conda	Espero que siga igual	Ninguna	R	1993	Hombre	Blanco	Título profesional (por ejemplo, MD, DDS, DVM)	Francia	Investigación	PhD Student	Científica/o de datos o Analista	3	Sí definitivamente	UseR conferencia, Encuentro local o regional de R	Twitter
2020-12-11T09:07:56Z	Principiante	NA	NA	NA	NA	NA	2019	Curso en línea (por ejemplo, Coursera, edX, Datacamp)	Pensé que saber R me abriría nuevas oportunidades en mi carrera	Aprender la sintaxis de R	Ocasionalmente: menos de una vez al mes.	Microsoft Windows	Análisis estadístico, Visualización	3	8	SPSS	Sí	Raramente	Su potencial	NA	Sitios web de búsqueda general como Google y Yahoo, Sitios generales de preguntas y respuestas como Stack Overflow y Quora, community.rstudio.com	Tu red personal, como colegas y profesores	Email	Espero que aumente	“Five”	No uso R Markdown	NA	Espero que aumente	Nunca, no uso Shiny	NA	Espero que siga igual	No uso Python	NA	NA	NA	NA	Espero que siga igual	Ninguna	R	1997	Masculino	Hispano/Latino	Licenciatura (por ejemplo, BA, BS)	Perú	Investigación	Especialista Social	Consultoría o Asesoría	5	No en realidad no	NA	Twitter
2020-12-11T09:11:06Z	Intermedio	NA	NA	NA	NA	NA	2016	Utilizando un libro o documentación en línea que no formaba parte de un curso formal	Fue requerido para mi trabajo	Mensajes de error	Semanal: entre una vez al día y una vez a la semana	Apple MacOS	Análisis estadístico, Limpieza o manipulación de datos, Modelado/Aprendizaje automático, Visualización	5	10	Microsoft Excel, RStudio Desktop (IDE)	Sí	Generalmente	La reproducibilidad a la hora de obtener resultados con distintos datos madre en poco tiempo	La búsqueda de recursos accesibles, claros y realmente útiles a usar como ejemplo	Sitios generales de preguntas y respuestas como Stack Overflow y Quora, Redes sociales como blogs, R-bloggers, Twitter, Slack o contactos de GitHub, Libros, libros de texto o artículos de revistas (JSS, JOSS, R-Journal)	Vistas de tareas de CRAN, Tu red personal, como colegas y profesores, Redes sociales como blogs, R-bloggers, Twitter, Slack o contactos de GitHub	Incorporación de resultados en trabajos de investigación enviados a publicaciones	Espero que aumente	five	Ocasionalmente: menos de una vez al mes.	Crear cuadernos R, Crear artículos listos para publicación para enviar, Crear documentos PDF personalizados usando pagedown, Crear diapositivas de presentación	Espero que aumente	Nunca, no uso Shiny	NA	Espero que siga igual	No uso Python	NA	NA	NA	NA	Espero que aumente	Excel	Excel	1994	Masculino	Hispano/Latino	Maestría (por ejemplo, MA, MS, MEd)	Portugal	Investigación	PhD Candidate	Investigador/a	5	Si algo	NA	Twitter
2020-12-11T09:11:48Z	Principiante	NA	NA	NA	NA	NA	2019	Utilizando un libro o documentación en línea que no formaba parte de un curso formal	Tenía un interés personal	Encontrar tiempo para empezar	Ocasionalmente: menos de una vez al mes.	Apple MacOS	Análisis estadístico, Limpieza o manipulación de datos	5	10	Línea de comandos de R (es decir, la interfaz nativa de la terminal R), SPSS	Sí	Generalmente	NA	NA	Sitios web de búsqueda general como Google y Yahoo, Sitios generales de preguntas y respuestas como Stack Overflow y Quora, Redes sociales como blogs, R-bloggers, Twitter, Slack o contactos de GitHub, Libros, libros de texto o artículos de revistas (JSS, JOSS, R-Journal)	Sitios web de búsqueda general como Google y Yahoo, community.rstudio.com	NA	Espero que aumente	five	No uso R Markdown	NA	Espero que aumente	Nunca, no uso Shiny	NA	Espero que aumente	No uso Python	NA	NA	NA	NA	Espero que aumente	SPSS	Python	1999	NA	Hispano/Latino	Licenciatura (por ejemplo, BA, BS)	United States of America / Estados Unidos de América	Salud Publica	NA	Estadístico/a	NA	Si algo	NA	Twitter
2020-12-11T09:12:58Z	Experto	NA	NA	NA	NA	NA	2017	En el trabajo	Fue parte de un curso que tomé	Comprender la documentación de R	Diariamente: al menos una vez al día.	Linux (cualquier distribución)	Análisis estadístico, Limpieza o manipulación de datos, Modelado/Aprendizaje automático, Visualización, Genómica, Medicina	5	9	Microsoft Excel, Línea de comandos de R (es decir, la interfaz nativa de la terminal R), RStudio Desktop (IDE), RStudio Server	No	De vez en cuando	Que es una herramiento que domino	La desconexión entre la comunidad de desarrolladores y CRAN y los que mantienen el código de R.	Sitios web de búsqueda general como Google y Yahoo, Sitios generales de preguntas y respuestas como Stack Overflow y Quora, Redes sociales como blogs, R-bloggers, Twitter, Slack o contactos de GitHub, community.rstudio.com, Sitios web de búsqueda específicos de R como METACRAN o Rdocumentation, Libros, libros de texto o artículos de revistas (JSS, JOSS, R-Journal)	Sitios web de búsqueda general como Google y Yahoo, Vistas de tareas de CRAN, Tu red personal, como colegas y profesores, Conferencias, reuniones o seminarios., Libros, libros de texto o artículos de revistas (JSS, JOSS, R-Journal), Redes sociales como blogs, R-bloggers, Twitter, Slack o contactos de GitHub	Blog personal o sitio web de su propiedad, Sitios web públicos como GitHub o Netlify, Incorporación de resultados en trabajos de investigación enviados a publicaciones	Espero que siga igual	five	Ocasionalmente: menos de una vez al mes.	Crear sitios web a través de blogdown, Paginas web, vignettes	Espero que siga igual	Nunca, no uso Shiny	NA	Espero que siga igual	No uso Python	NA	NA	NA	NA	Espero que siga igual	Excel	R	1992	NA	Sin raza	Maestría (por ejemplo, MA, MS, MEd)	Spain / España	Investigación	NA	Investigador/a	2	Sí definitivamente	Encuentro local o regional de R	Twitter
2020-12-11T09:13:01Z	Principiante	NA	NA	NA	NA	NA	2018	Utilizando un libro o documentación en línea que no formaba parte de un curso formal	Fue requerido para mi trabajo	Mensajes de error	Diariamente: al menos una vez al día.	Microsoft Windows	Análisis estadístico, Visualización, Análisis de encuestas	5	10	Microsoft Excel, RStudio Desktop Pro (IDE)	No sé lo que es el tidyverse	No sé qué es el paquete tidyverse	Que permite el manejo de muchos procedimientos estadísticos que es muy difícil realizar en otros programas	Hay procedimientos que no corren según las indicaciones	Sitios web de búsqueda general como Google y Yahoo, Su red personal, como colegas y profesores, Libros, libros de texto o artículos de revistas (JSS, JOSS, R-Journal)	Tu red personal, como colegas y profesores, Libros, libros de texto o artículos de revistas (JSS, JOSS, R-Journal)	Email, RPubs.com	Espero que aumente	Five	No uso R Markdown	NA	Espero que aumente	Nunca, no uso Shiny	NA	Espero que aumente	Ocasionalmente: menos de una vez al mes.	Análisis estadístico, Análisis de encuestas	3	7	Microsoft Excel, R	Espero que aumente	Excel, Python, SPSS	SAS	1969	Masculino	Hispano/Latino	Doctorado (por ejemplo, PhD, EdD)	Colombia	Educación	NA	Educador/a	NA	Sí definitivamente	Encuentro local o regional de R	Twitter
2020-12-11T09:15:01Z	Intermedio	NA	NA	NA	NA	NA	2008	Utilizando un libro o documentación en línea que no formaba parte de un curso formal	Queria hacer análisis estadísticos	Aprender la sintaxis de R	Semanal: entre una vez al día y una vez a la semana	Microsoft Windows	Análisis estadístico, Limpieza o manipulación de datos, Visualización, Análisis de texto	5	10	Microsoft Excel, Python, RStudio Desktop (IDE)	Sí	Generalmente	La potencia y la multitud de paquetes disponibles para casi cualquier cosa	Lo confusos que resultan a veces los distintos tipos de datos	Sitios web de búsqueda general como Google y Yahoo, Sitios generales de preguntas y respuestas como Stack Overflow y Quora	Sitios web de búsqueda general como Google y Yahoo, Sitios web de búsqueda específicos de R como METACRAN o Rdocumentation, Tu red personal, como colegas y profesores, Conferencias, reuniones o seminarios., Libros, libros de texto o artículos de revistas (JSS, JOSS, R-Journal), Redes sociales como blogs, R-bloggers, Twitter, Slack o contactos de GitHub	Email, Incorporación de resultados en trabajos de investigación enviados a publicaciones	Espero que siga igual	five	Ocasionalmente: menos de una vez al mes.	Crear cuadernos R, Crear documentos PDF personalizados usando pagedown	Espero que siga igual	Nunca, no uso Shiny	NA	Espero que aumente	Mensual: entre una vez a la semana y una vez al mes	Limpieza o manipulación de datos, Scraping	3	9	Anaconda, Jupyter cuadernos, Microsoft Excel, R	Espero que aumente	Excel, Python	Perl	1984	Hombre	Hispano/Latino	Doctorado (por ejemplo, PhD, EdD)	Spain / España	Educación	Profesor visitante	Investigador/a	2	Si algo	NA	Twitter
2020-12-11T09:15:14Z	Intermedio	NA	NA	NA	NA	NA	2017	Utilizando un libro o documentación en línea que no formaba parte de un curso formal	Tenía un interés personal	Mensajes de error	Semanal: entre una vez al día y una vez a la semana	Microsoft Windows	Análisis estadístico, Limpieza o manipulación de datos, Modelado/Aprendizaje automático, Visualización, Análisis de texto, Análisis financiero	5	10	Python, RStudio Desktop (IDE)	Sí	Generalmente	NA	NA	Sitios web de búsqueda general como Google y Yahoo	Conferencias, reuniones o seminarios., Redes sociales como blogs, R-bloggers, Twitter, Slack o contactos de GitHub	NA	Espero que aumente	five	Mensual: entre una vez a la semana y una vez al mes	Crear cuadernos R, Crear artículos listos para publicación para enviar	Espero que siga igual	Nunca, no uso Shiny	NA	Espero que aumente	Mensual: entre una vez a la semana y una vez al mes	Análisis estadístico, Limpieza o manipulación de datos, Modelado/Aprendizaje automático, Análisis de texto	5	10	Anaconda, Jupyter cuadernos, R	Espero que aumente	Javascript, Python	Excel	1978	masculino	Hispano/Latino	Licenciatura (por ejemplo, BA, BS)	Venezuela	Tecnologías de la Información	NA	Estadístico/a	NA	NA	NA	Twitter
2020-12-11T09:15:41Z	Experto	NA	NA	NA	NA	NA	2016	Utilizando un libro o documentación en línea que no formaba parte de un curso formal	Queria hacer análisis estadísticos	Mensajes de error	Diariamente: al menos una vez al día.	Apple MacOS	Análisis estadístico, Limpieza o manipulación de datos, Modelado/Aprendizaje automático, Visualización	5	10	RStudio Desktop (IDE), Shinyapps.io	Sí	Generalmente	la sintaxis	poca documentacion para llevar modelos a produccion, en aws por ejemplo	Sitios web de búsqueda general como Google y Yahoo, Sitios generales de preguntas y respuestas como Stack Overflow y Quora	Sitios web de búsqueda general como Google y Yahoo, Tu red personal, como colegas y profesores, Redes sociales como blogs, R-bloggers, Twitter, Slack o contactos de GitHub	Blog personal o sitio web de su propiedad, RPubs.com	Espero que aumente	five	Diariamente: al menos una vez al día.	Crear cuadernos R, Crear artículos listos para publicación para enviar, Crear documentos PDF personalizados usando pagedown, Crear diapositivas de presentación, Crear paneles HTML con flexdashboard	Espero que aumente	Ocasionalmente: menos de una vez al mes.	Tablero de instrumentos	Espero que aumente	Semanal: entre una vez al día y una vez a la semana	Análisis estadístico, Limpieza o manipulación de datos, Modelado/Aprendizaje automático, Visualización	3	7	Anaconda, JupyterLab 3.0, RStudio Decktop (IDE)	Espero que aumente	Python	R	1992	masculino	Hispano/Latino	Maestría (por ejemplo, MA, MS, MEd)	Argentina	Servicios y Actividades Financieros	Data Scientist	Científica/o de datos o Analista	8	Sí definitivamente	Encuentro local o regional de R, R Reuniones de damas (locales, regionales, nacionales o internacionales)	LinkedIn
2020-12-11T09:16:03Z	Experto	NA	NA	NA	NA	NA	2017	Utilizando un libro o documentación en línea que no formaba parte de un curso formal	Fue requerido para mi trabajo	Encontrar paquetes apropiados para usar	Diariamente: al menos una vez al día.	Microsoft Windows	Análisis estadístico, Limpieza o manipulación de datos, Modelado/Aprendizaje automático, Visualización, Análisis financiero	5	10	Microsoft Excel, Línea de comandos de R (es decir, la interfaz nativa de la terminal R), RStudio Desktop (IDE), RStudio Server	No	Generalmente	Tidyverse	Rmarkdown	Sitios web de búsqueda general como Google y Yahoo, Sitios generales de preguntas y respuestas como Stack Overflow y Quora	Sitios web de búsqueda general como Google y Yahoo, Conferencias, reuniones o seminarios., Libros, libros de texto o artículos de revistas (JSS, JOSS, R-Journal), Redes sociales como blogs, R-bloggers, Twitter, Slack o contactos de GitHub	Email	Espero que siga igual	five	Ocasionalmente: menos de una vez al mes.	Crear cuadernos R, Crear paneles HTML con flexdashboard, Crear documentos interactivos basados en Shiny	Espero que disminuya	Ocasionalmente: menos de una vez al mes.	Tablas de datos interactivas	Espero que siga igual	Ocasionalmente: menos de una vez al mes.	Análisis estadístico, Limpieza o manipulación de datos, Modelado/Aprendizaje automático, Análisis financiero	5	10	Conda, JupyterLab 3.0, JupyterHub, R, Visual Studio Code	Espero que aumente	Python	C/C++	1987	Masculino	Hispano/Latino	Licenciatura (por ejemplo, BA, BS)	Paraguay	Servicios y Actividades Financieros	Analista estadístico	Científica/o de datos o Analista	10	Neutral	R Reuniones de damas (locales, regionales, nacionales o internacionales)	Twitter
2020-12-11T09:16:41Z	Intermedio	NA	NA	NA	NA	NA	2010	Curso en línea (por ejemplo, Coursera, edX, Datacamp)	Pensé que saber R me abriría nuevas oportunidades en mi carrera	Administrar los paquetes	Semanal: entre una vez al día y una vez a la semana	Microsoft Windows	Análisis estadístico, Limpieza o manipulación de datos, Visualización, Genómica	5	10	Python, RStudio Cloud, RStudio Desktop (IDE)	Sí	Generalmente	Que es muy fácil malipular datos	La instalación de librerias antiguas	Sitios web de búsqueda general como Google y Yahoo, Sitios generales de preguntas y respuestas como Stack Overflow y Quora, Redes sociales como blogs, R-bloggers, Twitter, Slack o contactos de GitHub	Sitios web de búsqueda general como Google y Yahoo, Tu red personal, como colegas y profesores, Conferencias, reuniones o seminarios.	Email, Sitios web públicos como GitHub o Netlify	Espero que aumente	five	No uso R Markdown	NA	Espero que aumente	Nunca, no uso Shiny	NA	Espero que aumente	Ocasionalmente: menos de una vez al mes.	Análisis estadístico, Limpieza o manipulación de datos, Visualización, Genómica	3	8	Conda, R	Espero que siga igual	R	R	1987	Hombre	Hispano/Latino	Maestría (por ejemplo, MA, MS, MEd)	México	Investigación	Ayudante de Investigación	Investigador/a	1	Si algo	R Reuniones de damas (locales, regionales, nacionales o internacionales)	Facebook
2020-12-11T09:17:18Z	Intermedio	NA	NA	NA	NA	NA	2017	Universidad	Fue parte de un curso que tomé	Los materiales de R no están en Español	Mensual: entre una vez a la semana y una vez al mes	Microsoft Windows	Análisis estadístico, Limpieza o manipulación de datos, Análisis de encuestas	4	10	RStudio Desktop (IDE)	Sí	Generalmente	La frecuencia de actualizaciones, software libre y gratuito con múltiples aportes de la comunidad	Poca documentación en español, principalmente. Paquetes desactualizados o de poco uso	Sitios web de búsqueda general como Google y Yahoo, Sitios generales de preguntas y respuestas como Stack Overflow y Quora, Sitios web de búsqueda específicos de R como METACRAN o Rdocumentation	community.rstudio.com, Redes sociales como blogs, R-bloggers, Twitter, Slack o contactos de GitHub	No aplica	Espero que aumente	five	Mensual: entre una vez a la semana y una vez al mes	Crear documentos PDF personalizados usando pagedown	Espero que aumente	Nunca, no uso Shiny	NA	Espero que aumente	No uso Python	NA	NA	NA	NA	Planeo dejar de usarlo	Excel, SPSS	R	1994	Hombre	Hispano/Latino	Maestría (por ejemplo, MA, MS, MEd)	Chile	Investigación	Investigador	Investigador/a	0	Si algo	NA	Twitter
2020-12-11T09:17:28Z	Principiante	NA	NA	NA	NA	NA	2015	Utilizando un libro o documentación en línea que no formaba parte de un curso formal	Pensé que saber R me abriría nuevas oportunidades en mi carrera	Los materiales de R no están en Español	Semanal: entre una vez al día y una vez a la semana	Microsoft Windows	Análisis estadístico, Limpieza o manipulación de datos, Visualización, Análisis de encuestas	4	8	Microsoft Excel, Python, Línea de comandos de R (es decir, la interfaz nativa de la terminal R), SPSS	Sí	De vez en cuando	NA	NA	Sitios web de búsqueda general como Google y Yahoo, Sitios generales de preguntas y respuestas como Stack Overflow y Quora	Sitios web de búsqueda general como Google y Yahoo	Email	Espero que aumente	five	No uso R Markdown	NA	Espero que aumente	Nunca, no uso Shiny	NA	Espero que aumente	Ocasionalmente: menos de una vez al mes.	Análisis estadístico, Limpieza o manipulación de datos, Visualización, Análisis de encuestas	4	10	Anaconda, Microsoft Excel, R	Espero que aumente	Excel, Julia, Python, SPSS	SPSS	1991	masculino	Hispano/Latino	Grado universitario asociado (por ejemplo, AA, AS)	Ecuador	Educación	Analista de información y procesamiento	Científica/o de datos o Analista	1	No en realidad no	NA	Twitter
