Input	Output
Error messages	Error messages
Language irregularities	Language irregularities
Language syntax	Language syntax
Getting started	Getting started
Data types	Data types
Finding proper packages to use	Finding proper packages to use
Documentation	Documentation
Managing packages	Managing packages
Using the R command line interface	Using the R command line interface
Sintaxis del lenguaje	Language syntax
Mensajes de error	Error messages
Comenzar a usarlo	Getting started
Learning the RStudio development environment	Learning the RStudio development environment
R Materials aren't in my native language	R Materials aren't in my native language
Downloading and installing the software	Downloading and installing the software
Encontrar paquetes apropiados para usar	Finding proper packages to us
Los materiales de R no están en mi idioma nativo	R Materials aren't in my native language
Irregularidades del lenguaje	Language irregularities
Tipos de datos	Data types
Gestión de los paquetes	Managing packages
Usar la interfaz de línea de comandos de R	Using the R command line interface
Documentación	Documentation
Usar el entorno de desarrollo RStudio	Learning the RStudio development environment
Descarga e instalación del software	Downloading and installing the software
debugging	Debugging
data manipulation	Data manipulation
dplyr	dplyr
Functions	Functions
ggplot	ggplot
Non-standard evaluation	Non-standard evaluation
NSE	Non-standard evaluation
performance	Performance
There wasn’t much intuitive material for learners until of course tidyverse came through. Dplyr and ggplot2  raised my confidence and abilities multi fold!	There wasn’t much intuitive material for learners until of course tidyverse came through. Dplyr and ggplot2  raised my confidence and abilities multi fold!
tidyverse	tidyverse
understanding vector operations	understanding vector operations
 but you don’t know how to articulate the question in R wording.	 but you don’t know how to articulate the question in R wording.
!!)	!!)
"""function are first class citizen"""	"""function are first class citizen"""
[	[
$	$
A million ways to do one thing.	A million ways to do one thing.
Access to good online tutorials	Access to good online tutorials
Actually understanding the stats I was doing!	Actually understanding the stats I was doing!
Advanced functions	Advanced functions
Also keeping in mind that with same efforts in Python could lend me a much better job. I wanted to learn Python after mastering R only.	Also keeping in mind that with same efforts in Python could lend me a much better job. I wanted to learn Python after mastering R only.
and [[ confused me greatly	and [[ confused me greatly
and how they work. Had to have this revelation to really understand syntax and what was causing error messages.	and how they work. Had to have this revelation to really understand syntax and what was causing error messages.
and I can see people learning much faster.	and I can see people learning much faster.
and I have to rely on base R.	and I have to rely on base R.
and jumping between those and the early tidyverse was very confusing	and jumping between those and the early tidyverse was very confusing
and R is decidedly not Python (a neutral observation)	and R is decidedly not Python (a neutral observation)
and the most popular packages violate basic principles of good design	and the most popular packages violate basic principles of good design
and then again by another update to tidyverse.	and then again by another update to tidyverse.
and then realizing I didn't know how to do very basic things in R (frequency tables	and then realizing I didn't know how to do very basic things in R (frequency tables
and understanding the output were all hard. There's also very basic functions that are fast once you have the code written but can take multiple days to write. Producing a summary statistic table for example. Fast once you know how	and understanding the output were all hard. There's also very basic functions that are fast once you have the code written but can take multiple days to write. Producing a summary statistic table for example. Fast once you know how
Apply	Apply
Apply functions	Apply functions
Back in 2006 it was much harder to learn R (I think). Nobody around me knew it	Back in 2006 it was much harder to learn R (I think). Nobody around me knew it
Back then there was hardly any material. I stopped using it in 2002 and only on occasion came back to it since	Back then there was hardly any material. I stopped using it in 2002 and only on occasion came back to it since
Base R	Base R
Base R graphics	Base R graphics
basic concepts!	basic concepts!
Best practices and application	Best practices and application
Bioconductor conventions	Bioconductor conventions
brackets and commas) as needed	brackets and commas) as needed
built in functions	built in functions
but I don't remember it being difficult.	but I don't remember it being difficult.
but I need and like to learn	but I need and like to learn
but it isn't weird	but it isn't weird
but not for those in transition between the two states.	but not for those in transition between the two states.
but often outdated and can now take a new learner time to wade through and curate digital information to help in learning.	but often outdated and can now take a new learner time to wade through and curate digital information to help in learning.
but only using `for` loops.	but only using `for` loops.
but the spatial analysis possibilities are so much better. I find myself switching between multiple softwares to save time even though R could do it all.	but the spatial analysis possibilities are so much better. I find myself switching between multiple softwares to save time even though R could do it all.
but there is so much I take for granted in Excel that needs a different approach in R.	but there is so much I take for granted in Excel that needs a different approach in R.
but writing complex functions which requires several packages/dependencies is a trouble.	but writing complex functions which requires several packages/dependencies is a trouble.
C/Fortran interfaces	C/Fortran interfaces
can't remember	can't remember
Can't remember	Can't remember
choosing among numerous approaches & packages	choosing among numerous approaches & packages
choosing among X ways to approach a problem.	choosing among X ways to approach a problem.
choosing the best packages and understanding errors	choosing the best packages and understanding errors
classes in R	classes in R
Cleaning data! Arg.	Cleaning data! Arg.
coding map functions in R is a huge time suck compared to GIS	coding map functions in R is a huge time suck compared to GIS
Coming from Stata	Coming from Stata
Coming up to speed on CS fundamentals	Coming up to speed on CS fundamentals
Comma rage / parenthesis rage	Comma rage / parenthesis rage
Complex functions and Loops	Complex functions and Loops
Computationally heavy algos and memory management.	Computationally heavy algos and memory management.
Concepts like tidyverse	Concepts like tidyverse
conditional editing	conditional editing
Connecting to databases and automated scripts	Connecting to databases and automated scripts
control flow	control flow
crating packages	crating packages
Creating functions	Creating functions
Creating functions and loops at the start. Now	Creating functions and loops at the start. Now
Creativity in designing code to reach desired outcome	Creativity in designing code to reach desired outcome
custom graphics	custom graphics
Data frames	Data frames
Data management	Data management
Data manipulation	Data manipulation
Data organization and management	Data organization and management
Data transformation: creating new variables and recoding.	Data transformation: creating new variables and recoding.
data.table	data.table
Date and time objects	Date and time objects
dates and times	dates and times
Dealing with different ways of doing R. So far I know 3. Tidy verse way. Data.table way and base R way.You will have to know all of them because different people will teach the same method in different packages.	Dealing with different ways of doing R. So far I know 3. Tidy verse way. Data.table way and base R way.You will have to know all of them because different people will teach the same method in different packages.
Debugg	Debugg
Debuggin functions	Debuggin functions
Deciding how to write things elegantly	Deciding how to write things elegantly
Dependency mngt and cicd	Dependency mngt and cicd
depending on where I looked.	depending on where I looked.
diagnosable examples	diagnosable examples
Didn't know how to ask a question in order to get help; lack of support	Didn't know how to ask a question in order to get help; lack of support
Didn’t use it regularly and had to reteach myself often	Didn’t use it regularly and had to reteach myself often
Differences between packages: Syntax inconsistencies.	Differences between packages: Syntax inconsistencies.
difficulty for a me: so many packages doing similar things make it difficult to chose the approptiate one	difficulty for a me: so many packages doing similar things make it difficult to chose the approptiate one
do()	do()
Doing everything properly	Doing everything properly
don't remember	don't remember
dont forget the many possibilities	dont forget the many possibilities
e.g. apply vs. map; subset vs. filter	e.g. apply vs. map; subset vs. filter
Educational material too superficial (go over the how that can just be copy and pasted but not over the why/what for)	Educational material too superficial (go over the how that can just be copy and pasted but not over the why/what for)
encoding problems on Windows	encoding problems on Windows
environments	Environments
Environments	Environments
especially with the base R language	especially with the base R language
Estructurar datos de forma correcta	Estructurar datos de forma correcta
etc.)	etc.)
etc). I learn each individual one as I go	etc). I learn each individual one as I go
Every time there is a gap in the tidyverse	Every time there is a gap in the tidyverse
everything before tidyverse	everything before tidyverse
Everything is explained in jargon	Everything is explained in jargon
Exercises accelerated to quickly	Exercises accelerated to quickly
Extremely sensitive to coding detail	Extremely sensitive to coding detail
Factors	Factors
Factors and lists	Factors and lists
Figuring out what function to use	Figuring out what function to use
Figuring out which ecosystem to use	Figuring out which ecosystem to use
Filepaths	Filepaths
Finding a consistent coding style. Too many resources/courses taught baseR or older packages	Finding a consistent coding style. Too many resources/courses taught baseR or older packages
Finding obscure but helpful functions in base R	Finding obscure but helpful functions in base R
Finding the right codes to do what I want	Finding the right codes to do what I want
Finding the right IDE. There was not RStudio yet	Finding the right IDE. There was not RStudio yet
Finding the right people to support me	Finding the right people to support me
Finding the tidyverse	Finding the tidyverse
Finding working example of what I needed.	Finding working example of what I needed.
Finding years back the right package to make everything easier	Finding years back the right package to make everything easier
Firewall	Firewall
For loops. Making sense of the layout of CRAN help documents	For loops. Making sense of the layout of CRAN help documents
Functional programming	Functional programming
Functional Programming	Functional Programming
functions	functions
Generally new to programing	Generally new to programing
get Bioconductor running before I realized that is not CRAN	get Bioconductor running before I realized that is not CRAN
Getting a compiler to work for packrat and packages not on CRAN	Getting a compiler to work for packrat and packages not on CRAN
Getting data from the internet	Getting data from the internet
getting from code intermingled fragments to full-blown organised projects	getting from code intermingled fragments to full-blown organised projects
Getting RStudio runnin in EndlessOS (flatpak based)	Getting RStudio runnin in EndlessOS (flatpak based)
Getting to working with lists and subsetting lists	Getting to working with lists and subsetting lists
Going beyond copy and paste code online	Going beyond copy and paste code online
Graphs and plots	Graphs and plots
How many different ways there are to do things	How many different ways there are to do things
how they are created	how they are created
I am actually poor in programming languages	I am actually poor in programming languages
I found it quite easy to use for doing simple data analysis for my research project. The hardest part was learning in what situations to use one package over the other. I suppose that is the beauty of it – R can be used creatively!	I found it quite easy to use for doing simple data analysis for my research project. The hardest part was learning in what situations to use one package over the other. I suppose that is the beauty of it – R can be used creatively!
I found NSE is quite hard	Non-standard evaluation
I had never coded before	I had never coded before
I had to restructure how to think about data analysis. My best practices did not work anymore in R and I had to rethink how to do things.	I had to restructure how to think about data analysis. My best practices did not work anymore in R and I had to rethink how to do things.
I mean	I mean
I often recommend that my peers do NOT start with base R but jump right into the tidyverse and learn base R (dollar signs	I often recommend that my peers do NOT start with base R but jump right into the tidyverse and learn base R (dollar signs
I particularly have difficulties in OOP	I particularly have difficulties in OOP
I regress.  Don't have that with python or C.	I regress.  Don't have that with python or C.
I'm very entrenched in a Python mindset	I'm very entrenched in a Python mindset
If I don't use it regularly	If I don't use it regularly
ifelse and functions.  Looking back I realize the proliferation of packages and ways to accomplish the same thing confused me.  The richness of what was available also kept distracting me so I never learned anything really deeply and solidly.	ifelse and functions.  Looking back I realize the proliferation of packages and ways to accomplish the same thing confused me.  The richness of what was available also kept distracting me so I never learned anything really deeply and solidly.
illustrative	illustrative
Implicit coercion.	Implicit coercion.
importing damned data	importing damned data
Installing and managing package dependencies (e.g.	Installing and managing package dependencies (e.g.
installing packages with compilation from other languages	installing packages with compilation from other languages
Interchanging between RStudio and plain R in a Linux shell	Interchanging between RStudio and plain R in a Linux shell
It is not hard. It is just a lot.	It is not hard. It is just a lot.
it was hard to stare at a blank script and not even know where to begin	it was hard to stare at a blank script and not even know where to begin
It was my first experience with a programming language.	It was my first experience with a programming language.
it was the first functional-ish language I learnt	it was the first functional-ish language I learnt
It was very different from matlab	It was very different from matlab
it's so much different from other languages	it's so much different from other languages
its still shaky. Dplyr logic makes sense. ggplot layered logic and aes could have been stated more explicitly from the begining.	its still shaky. Dplyr logic makes sense. ggplot layered logic and aes could have been stated more explicitly from the begining.
Just generally not knowing what functions and things R is capable of.	Just generally not knowing what functions and things R is capable of.
just not working with it often enough	just not working with it often enough
just so much to learn.	just so much to learn.
Keep forgetting  things	Keep forgetting  things
keras installation	keras installation
know knowing the things I don‘t know. So basically being unexperienced	know knowing the things I don‘t know. So basically being unexperienced
knowing how to code in that package	knowing how to code in that package
Knowing what methods were the best to learn	Knowing what methods were the best to learn
Lack of documentation at that time (pre-version 1 -> version 1 of R)	Lack of documentation at that time (pre-version 1 -> version 1 of R)
Lack of formal training - self-taught means i'm missing some key knowledge but don't know what I don't know	Lack of formal training - self-taught means i'm missing some key knowledge but don't know what I don't know
Lack of positive help groups	Lack of positive help groups
Lack of small	Lack of small
Language semantics	Language semantics
Las fechas	Las fechas
Layering ggplot for graphs was tricky	Layering ggplot for graphs was tricky
"Learning ""good"" R patterns and design principles."	"Learning ""good"" R patterns and design principles."
learning about working directories	learning about working directories
Learning each package well takes time.	Learning each package well takes time.
Learning functions	Learning functions
Learning general purpose programming concepts	Learning general purpose programming concepts
Learning how to code generally!	Learning how to code generally!
Learning how to get data into R	Learning how to get data into R
Learning how to write code since I'd never written code before	Learning how to write code since I'd never written code before
Learning one sub-system properly	Learning one sub-system properly
list	list
lists	lists
Lists	Lists
Lists and `lapply` -- I had previous coding experience in other languages	Lists and `lapply` -- I had previous coding experience in other languages
loading data file.	loading data file.
Looping	Looping
Loops	Loops
Making R scripts work cross platform and across computers	Making R scripts work cross platform and across computers
making them intractable to use. Despite that	making them intractable to use. Despite that
Managing versions of R	Managing versions of R
manipulating lists	manipulating lists
Many things to make programming easier	Many things to make programming easier
Many way of doing the same thing	Many way of doing the same thing
Mapping statistcal equations to code	Mapping statistcal equations to code
Maybe my memory is fuzzy	Maybe my memory is fuzzy
Me being a medical doctor without any programming background	Me being a medical doctor without any programming background
Memory issue	Memory issue
