Input	Output
Master’s degree (e.g. MA, MS, MEd)	Masters
Doctorate (e.g. PhD, EdD)	PhD
Bachelor’s degree (e.g. BA, BS)	Bachelor
One or more graduate courses, no graduate degree	Some graduate
Professional degree (e.g. MD, DDS, DVM)	PhD
Some college or university, no college degree	Some college
High school degree or equivalent (e.g. GED)	High school diploma
Associate degree (e.g. AA, AS)	Associate degree
Trade/technical/vocational training, no degree awarded	Vocational, no degree
At this time, I'm studying at the  master	Bachelor
BA + 1 year mba	Bachelor
Bachelors degree with Honours	Bachelor
Dr.sc.ing.	PhD
Less than a high school diploma	No degree
Less than high school diploma but with IT certifications	No degree
Mba	Masters
MBA	Masters
MD, PhD	PhD
Not part of an institutional education program	No degree
Not sure about your abreviations, I have a six year degree in Electronics engineering	Masters
Professor	PhD

