Qgender_coded,n
male,1952
female,627
NA,182
men,9
masculine,6
sex and gender diverse,6
-male,2
masculin,2
none,2
-,1
-female,1
1,1
"10% male, 90% beer and cake",1
2/3 m & 1/3 f,1
2018,1
alpha male,1
appache helicopter,1
both xx and xy,1
caucasian privilleged male,1
elf,1
famale,1
female ish,1
female-ish,1
femenine,1
femme as fuck,1
fucking male attack helicopter,1
gender agnostic,1
gender male,1
h,1
him,1
i am a man,1
jedi,1
jedi knight,1
makle,1
"male (guys, brave to ask this open-ended! happy clustering!)",1
male- cyborg,1
"male, post-sexual",1
males,1
masculino,1
math,1
my sex is male.,1
other/misc,1
queer,1
queer woman,1
somewhere between woman and agender??,1
straight  female,1
trans-over easy- pander,1
transgender - ftm,1
very good looking male,1
woman/female,1
women,1
zebrafish,1
