Input	Output
Master’s degree (e.g. MA, MS, MEd)	Masters
Doctorate (e.g. PhD, EdD)	Doctorate
Bachelor’s degree (e.g. BA, BS)	Bachelor
One or more graduate courses, no graduate degree	Some graduate
Professional degree (e.g. MD, DDS, DVM)	Doctorate
Some college or university, no college degree	Some college
High school degree or equivalent (e.g. GED)	High school diploma
Associate degree (e.g. AA, AS)	Associate degree
Trade/technical/vocational training, no degree awarded	Vocational, no degree
At this time, I'm studying at the  master	Bachelor
BA + 1 year mba	Bachelor
Bachelors degree with Honours	Bachelor
Dr.sc.ing.	Doctorate
Less than a high school diploma	No degree
Less than high school diploma but with IT certifications	No degree
Mba	Masters
MBA	Masters
MD, PhD	Doctorate
Not part of an institutional education program	No degree
Not sure about your abreviations, I have a six year degree in Electronics engineering	Masters
Professor	Doctorate
Maestría (por ejemplo, MA, MS, MEd)	Masters
Licenciatura (por ejemplo, BA, BS)	Bachelor
Uno o más cursos de postgrado, sin título de postgrado	Some graduate
Doctorado (por ejemplo, PhD, EdD)	Doctorate
Algunos cursos universitarios de grado, sin título	Some college
Grado universitario asociado (por ejemplo, AA, AS)	Associate degree
Título profesional (por ejemplo, MD, DDS, DVM)	Doctorate
Formación terciaria comercial / técnica / profesional, sin título	Vocational, no degree
Título de escuela secundaria o equivalente	High school diploma
DVM	Doctorate
