Input	Output
More than once a day	More than once a day
Between once a day and once a week	Between once a day and once a week
Between once a week and once a month	Between once a week and once a month
Less than once a month	Less than once a month
Más de una vez al día	More than once a day
Entre una vez al día y una vez a la semana	Between once a day and once a week
Entre una vez a la semana y una vez al mes	Between once a week and once a month
Menos de una vez al mes	Less than once a month
I don't use R any more	I don't use R any more
Ya no uso R	I don't use R any more
