Input	Output
Research	Research
Education	Education
Information Technologies	Technology
Health Care and Medicine	Health/Medicine
Financial Services and Activities	Fin. Svcs.
Government Services (Federal, State, or Local)	Gov't Svcs.
Professional and Business Services	Prof. Svcs.
Not Employed	Not Employed
Investigación	Research
Educación	Education
Natural Resources and Mining	Mining/Natural Resources
Manufacturing	Manufacturing
Trade (Retail or Wholesale)	Retail/Wholesale Trade
Tecnologías de la Información	Technology
Transportation	Transportation
Utilities	Utilities
Arts and Entertainment	Arts/Entertainment
Servicios Gubernamentales (Federales, Provinciales o Municipales)	Gov't Svcs.
Servicios y Actividades Financieros	Financial Svcs.
Servicios Profesionales y de Negocios	Prof. Svcs.
Cuidado de la Salud y Medicina	Health/Medicine
Sin empleo	Not Employed
Accommodation and Food Services	Accom./Food Svcs.
Sports	Sports
Servicios Públicos	Public Services
Recursos Naturales y Minería	Mining/Natural Resources
Telecommunications	Telecommunications
Agriculture	Agriculture
Construction	Construction
Consulting	Prof. Svcs.
Fabricación	Manufacturing
Journalism	Journalism
Military	Military
Student	Education
Insurance	Fin. Svcs.
Media	Media
Nonprofit	Nonprofit
Alojamiento y Servicios de Alimentación	Accom./Food Svcs.
Automotive	Automotive
Comercio (al por menor o al por mayor)	Retail/Wholesale Trade
Marketing	Marketing
Politics	Gov't Svcs.
University	Education
Various	Other
Aviation	Aviation
Bioinformatics	Biotechnology
Biotechnology	Biotechnology
Consultoria	Prof. Svcs.
Energy	Mining/Natural Resources
Environmental Consulting	Prof. Svcs.
Humanitarian	Non-Profit
International Development (The World Bank)	Non-Profit
Legal	Prof. Svcs.
Non-Profit	Non-Profit
ONG	Non-Profit
Retail	Retail/Wholesale Trade
Science	Research
Self-employed	Prof. Svcs.
Software	Technology
Sustainable energy	Mining/Natural Resources
Tech	Technology
Telecommunication	Telecom
toy	Manufacturing
Transporte	Transportation
NA	NA
Academia (non-education)	Research
Academia (Research and Education)	Education
Academia and consulting	Education
Academia. My research field is ecology	Education
Academic	Education
Advertising	Advertising
Advertising Technology	Advertising
Agronomy	Agriculture
Airlines	Transportation
Arte y Entretenimiento	Arts/Entertainment
Banca	Financial Svcs.
BI consultancy, PhD in neuroradiology	Prof. Svcs.
biology student ground education	Education
central banking	Financial Svcs.
Charitable sector	Non-Profit
Ciencias de la atmósfera	Research
Civil Engineering	Engineering
Clinical Research (pharmacy)	Health/Medicine
college student	Education
Communications	Telecom
comunicacion	Telecom
Conservation Science/NGO	Non-Profit
consulting	Prof. Svcs.
Consulting and education	Prof. Svcs.
Consulting engineering	Prof. Svcs.
Consulting for research projects	Prof. Svcs.
Consulting to gov't about natural resources	Prof. Svcs.
Consultoría	Prof. Svcs.
Cosmetics	Manufacturing
Cross industry - gov, 3rd sector, private, education	Non-Profit
Data & Analytics Consulting	Prof. Svcs.
Data Science	Prof. Svcs.
Data Science Consulting	Prof. Svcs.
Design and Build engineering	Engineering
Development	Technology
diagnostics	Health/Medicine
Digital Marketing	Marketing
Docencia universitaria	Education
Doctoral student	Education
Ecologist	Research
Ecology	Research
