Qtime,Qindustry,Qtitle,Qwork_title,Qlanguages,Qfirst_language,Qr_experience,Qr_year,Qtime_to_proficiency,Qr_learning_path,Qreason_to_learn,Qr_use,Qr_length_to_success,Qr_difficulty,Qr_reason_experienced,Qr_how_often_used,Qr_enjoyment,Qr_difficulty_experienced,Qtidyverse_learning,Qtidyverse_today,Qshiny,Qunit_tests,Qlike_best,Qlike_least,Qrecommend,Qused_for,Qmost_difficult_aspect,blank_question,Qnot_live_without,Qcapability_missing,Qtools,Qchange_one_thing,Qyear_born,Qgender,Qcountry,Qethnicity,Qdegree,Qteam_r_users,Qversion_control,Qtools_with_r,Qobstacles_to_starting,Qbiggest_difficulty,Qhow_to_learn_r,learner_type,Qgender_coded
2018-12-06T11:57:58Z,Research,Postdoc,Researcher,"Excel, SPSS",Excel,Beginner,2018,I don't feel proficient in R yet.,A friend showed me,NA,NA,NA,NA,I was personally interested,Less than once a month,3,3,I don't know what the tidyverse is,I don't know what tidyverse is,I don't know what Shiny is.,I don't know what unit tests are,NA,NA,5,"Statistical analysis, Visualization",NA,NA,NA,NA,NA,NA,1988,woman,NA,White,"Doctorate (e.g. PhD, EdD)",10,I don't know what version control is.,"Microsoft Excel, R Command Line (i.e., the native R terminal interface), RStudio Connect, SPSS",NA,Getting started,NA,Recent Learner,female
2018-12-06T12:04:11Z,Research,Researcher@University,Researcher,"Excel, Python, SPSS",Visual Basic,Intermediate,2016,Weeks,On the job,NA,NA,NA,NA,I was personally interested,More than once a day,5,3,Yes,Usually,Never -- I don't use Shiny.,Never -- I don't write unit tests,Perfect visualizations,Sometimes small things are hard to do (until you find an easier way...),10,"Statistical analysis, Data transformation, Visualization",NA,NA,Ggplot2,NA,NA,Start with tidyverse from the beginning,1990,"male (guys, brave to ask this open-ended! happy clustering!)",Germany,White,"Master’s degree (e.g. MA, MS, MEd)",2,Never -- I don't use version control for my R code,"Microsoft Excel, RStudio Desktop (IDE)",NA,Getting started,NA,Early Learner,male
2018-12-06T12:04:40Z,Education,Assistant Professor,Educator,"Excel, bash",Pascal,Expert,2008,Weeks,In-person course (including bootcamps and workshops as well as more formal courses),NA,NA,NA,NA,I wanted to do statistical analyses,More than once a day,5,2,No,Usually,Sometimes -- I use or build Shiny applications occasionally,Never -- I don't write unit tests,easiness of use,different encodings for different OSs; mac and linux are usually UTF-8 and Windows is Windows-1252 in Brazil. R should be in UTF-8 by default,10,"Statistical analysis, Data transformation, Modeling, Visualization, Machine learning",NA,NA,tidyverse,NA,NA,"I'd say a better IDE, because I learnt it writing code using Sublime Text, but RStudio does everything I need nowadays",1980,male,Brazil,White,"Doctorate (e.g. PhD, EdD)",100,Never -- I don't use version control for my R code,"Microsoft Excel, R Command Line (i.e., the native R terminal interface), Shiny Server",NA,"Documentation, Error messages, Finding proper packages to use",NA,Early Learner,male
2018-12-06T12:04:42Z,Research,Chief Scientist,Software developer,"C/C++, Excel, Java, Javascript, PHP, Ruby, SAS, Visual Basic",Visual Basic,Expert,2003,Years,In-person course (including bootcamps and workshops as well as more formal courses),NA,NA,NA,NA,I was personally interested,More than once a day,5,3,No,Usually,"Rarely -- I know how to use Shiny, but it's not part of my regular work",Frequently -- I write unit tests for most of the code that I write,NA,NA,10,"Statistical analysis, Data transformation, Visualization, Package development",NA,NA,NA,NA,NA,NA,1979,male,United States of America,White,"Doctorate (e.g. PhD, EdD)",NA,Frequently -- I use version control on most of the code that I write,"RStudio.cloud, RStudio Desktop (IDE)",NA,"Data types, Language irregularities",NA,Early Learner,male
2018-12-06T12:05:14Z,Education,Research associate,Researcher,"Excel, Python",R,Expert,2016,Years,By myself using a book or online documentation that was not part of a formal course,NA,NA,NA,NA,I wanted to do statistical analyses,Between once a day and once a week,5,2,No,Usually,Never -- I don't use Shiny.,Never -- I don't write unit tests,Syntax and usability,Package inconsistency,10,"Statistical analysis, Data transformation, Modeling, Visualization, Machine learning, Text processing, Survey analysis, Economic Analysis",NA,NA,Tidyverse and tidymodels,Making data transformation less memory demanding,NA,Package consistency,1994,male,India,Asian,"Master’s degree (e.g. MA, MS, MEd)",4,I don't know what version control is.,"Python, R Command Line (i.e., the native R terminal interface), RStudio Desktop (IDE)",NA,"Error messages, Finding proper packages to use, Language irregularities",NA,Early Learner,male
2018-12-06T12:05:32Z,Research,Resercher,Researcher,"Python, SPSS, Stata",Stata,Expert,2012,Months,By myself using a book or online documentation that was not part of a formal course,NA,NA,NA,NA,"I wanted to use a specific R package (e.g., ggplot2, caret, rmarkdown)",More than once a day,4,3,No,Occasionally,"Rarely -- I know how to use Shiny, but it's not part of my regular work",Never -- I don't write unit tests,No limitations,Syntax is sometimes not intuitive,9,"Statistical analysis, Data transformation, Modeling, Visualization",NA,NA,Base R,"Stability. Because of packages, there are many ways to do things and I find that it confuses people a lot. Packages can change, and older code may no longer run properly. For these reasons, I tend to stick to base R as much as possible.",NA,A simplified and more intuitive syntax. Stata is pretty good on that aspect.,1984,male,Canada,White,"Doctorate (e.g. PhD, EdD)",5,I don't know what version control is.,"R Command Line (i.e., the native R terminal interface), RStudio.cloud, RStudio Desktop (IDE)",NA,Language syntax,NA,Early Learner,male
2018-12-06T12:05:45Z,Information Technologies,NA,Researcher,"C/C++, Excel, Go, Java, Javascript, Matlab, Python, Ruby",Java,Expert,2011,Years,In-person course (including bootcamps and workshops as well as more formal courses),NA,NA,NA,NA,I wanted to do statistical analyses,More than once a day,5,2,No,Usually,Sometimes -- I use or build Shiny applications occasionally,Sometimes -- I write unit tests when I have code that is critical to my project or work,NA,NA,10,"Statistical analysis, Data transformation, Modeling, Visualization, Machine learning, Text processing, Genomics, Survey analysis, Financial analysis",NA,NA,NA,NA,NA,NA,1990,male,United States of America,White,"Bachelor’s degree (e.g. BA, BS)",15,Frequently -- I use version control on most of the code that I write,"Jupyter Notebooks, Microsoft Excel, Python, R Command Line (i.e., the native R terminal interface), RStudio.cloud, RStudio Desktop (IDE), RStudio Server, Shinyapps.io",NA,"Documentation, Downloading and installing the software, Error messages",NA,Early Learner,male
2018-12-06T12:09:27Z,Research,grad student,Student,"Excel, Javascript, Tableau",Javascript,Intermediate,2018,Weeks,"Online course (e.g., Coursera, edX, Datacamp)",NA,NA,NA,NA,I wanted to do statistical analyses,More than once a day,5,3,Yes,Usually,Never -- I don't use Shiny.,Sometimes -- I write unit tests when I have code that is critical to my project or work,the sense of community,NA,10,"Statistical analysis, Data transformation, Visualization",NA,NA,tidyverse,NA,NA,NA,1991,female,United States of America,White,"Bachelor’s degree (e.g. BA, BS)",50,Never -- I don't use version control for my R code,"R Command Line (i.e., the native R terminal interface), RStudio.cloud, RStudio Desktop (IDE)",NA,"Data types, Error messages, Getting started",NA,Recent Learner,female
2018-12-06T12:11:23Z,Financial Services and Activities,NA,Financial professional,C/C++,Visual Basic,Expert,2003,Years,On the job,NA,NA,NA,NA,One or more members of the R community encouraged me to learn it,Between once a day and once a week,5,3,Yes,Rarely,Never -- I don't use Shiny.,Never -- I don't write unit tests,NA,NA,8,"Statistical analysis, Data transformation, Visualization, Financial analysis",NA,NA,NA,NA,NA,NA,1975,NA,NA,White,"Master’s degree (e.g. MA, MS, MEd)",NA,"Rarely -- I know how to use version control on projects that require it, but it's not part of my normal workflow",RStudio Desktop (IDE),NA,Finding proper packages to use,NA,Early Learner,NA
2018-12-06T12:11:58Z,Research,Professor,Researcher,"Excel, Python, Perl",Pascal,Intermediate,2009,Weeks,On the job,NA,NA,NA,NA,I wanted to do statistical analyses,Between once a week and once a month,4,2,No,Occasionally,Never -- I don't use Shiny.,Sometimes -- I write unit tests when I have code that is critical to my project or work,NA,NA,9,"Statistical analysis, Data transformation, Visualization, Machine learning, Genomics",NA,NA,NA,NA,NA,NA,1983,male,Germany,White,"Doctorate (e.g. PhD, EdD)",4,Frequently -- I use version control on most of the code that I write,"Python, R Command Line (i.e., the native R terminal interface), RStudio Desktop (IDE)",NA,"Data types, Language irregularities",NA,Early Learner,male
